id,stock_id,current_price,last_updated,details
230,11,0.2967,2025-07-15 15:16:20.897,"{""source"": ""WS""}"
231,7,20.87,2025-07-15 15:16:21.676,"{""source"": ""WS""}"
232,10,15.36,2025-07-15 15:16:21.392,"{""source"": ""WS""}"
233,8,92.5,2025-07-15 15:16:22.443,"{""source"": ""WS""}"
234,9,486.4,2025-07-15 15:16:21.261,"{""source"": ""WS""}"
235,18,18.03,2025-07-15 15:16:21.356,"{""source"": ""WS""}"
236,17,2.5,2025-07-15 15:16:21.304,"{""source"": ""WS""}"
237,2,2993.86,2025-07-15 15:16:34.793,"{""source"": ""WS""}"
238,1,116216.28,2025-07-15 15:16:34.687,"{""source"": ""WS""}"
239,3,158.77,2025-07-15 15:16:34.793,"{""source"": ""WS""}"
240,19,3.887,2025-07-15 15:16:34.801,"{""source"": ""WS""}"
241,4,0.19061,2025-07-15 15:16:34.795,"{""source"": ""WS""}"
242,14,2.509,2025-07-15 15:16:34.791,"{""source"": ""WS""}"
243,6,2.8751,2025-07-15 15:16:34.796,"{""source"": ""WS""}"
244,15,0.4473,2025-07-15 15:16:34.797,"{""source"": ""WS""}"
245,9,486.2,2025-07-15 15:16:27.148,"{""source"": ""WS""}"
246,12,9.018,2025-07-15 15:16:34.801,"{""source"": ""WS""}"
247,7,20.86,2025-07-15 15:16:27.034,"{""source"": ""WS""}"
248,17,2.498,2025-07-15 15:16:26.491,"{""source"": ""WS""}"
249,20,0.7183,2025-07-15 15:16:34.803,"{""source"": ""WS""}"
250,18,18.02,2025-07-15 15:16:23.005,"{""source"": ""WS""}"
251,13,4.504,2025-07-15 15:16:34.794,"{""source"": ""WS""}"
252,10,15.35,2025-07-15 15:16:26.912,"{""source"": ""WS""}"
253,11,0.2967,2025-07-15 15:16:27.459,"{""source"": ""WS""}"
254,8,92.54,2025-07-15 15:16:34.801,"{""source"": ""WS""}"
255,4,0.19079,2025-07-15 15:16:45.554,"{""source"": ""WS""}"
256,2,2995.25,2025-07-15 15:16:45.535,"{""source"": ""WS""}"
257,3,158.84,2025-07-15 15:16:45.778,"{""source"": ""WS""}"
258,20,0.7189,2025-07-15 15:16:45.824,"{""source"": ""WS""}"
259,1,116282,2025-07-15 15:16:45.773,"{""source"": ""WS""}"
260,17,2.501,2025-07-15 15:16:45.394,"{""source"": ""WS""}"
261,6,2.8757,2025-07-15 15:16:45.724,"{""source"": ""WS""}"
262,12,9.024,2025-07-15 15:16:45.462,"{""source"": ""WS""}"
263,15,0.4474,2025-07-15 15:16:45.598,"{""source"": ""WS""}"
264,8,92.92,2025-07-15 15:16:45.706,"{""source"": ""WS""}"
265,18,18.03,2025-07-15 15:16:41.846,"{""source"": ""WS""}"
266,10,15.36,2025-07-15 15:16:44.648,"{""source"": ""WS""}"
267,11,0.2968,2025-07-15 15:16:41.376,"{""source"": ""WS""}"
268,9,486.4,2025-07-15 15:16:44.808,"{""source"": ""WS""}"
269,7,20.89,2025-07-15 15:16:45.607,"{""source"": ""WS""}"
270,13,4.507,2025-07-15 15:16:42.196,"{""source"": ""WS""}"
271,19,3.89,2025-07-15 15:16:45.527,"{""source"": ""WS""}"
272,14,2.511,2025-07-15 15:16:45.447,"{""source"": ""WS""}"
273,8,92.94,2025-07-15 15:16:55.219,"{""source"": ""WS""}"
274,2,2996.28,2025-07-15 15:16:55.207,"{""source"": ""WS""}"
275,14,2.513,2025-07-15 15:16:55.259,"{""source"": ""WS""}"
276,3,158.87,2025-07-15 15:16:54.848,"{""source"": ""WS""}"
277,15,0.4473,2025-07-15 15:16:55.147,"{""source"": ""WS""}"
278,7,20.91,2025-07-15 15:16:52.642,"{""source"": ""WS""}"
279,6,2.8772,2025-07-15 15:16:55.201,"{""source"": ""WS""}"
280,1,116306.99,2025-07-15 15:16:54.986,"{""source"": ""WS""}"
281,20,0.7193,2025-07-15 15:16:54.228,"{""source"": ""WS""}"
282,4,0.19089,2025-07-15 15:16:55.175,"{""source"": ""WS""}"
283,17,2.502,2025-07-15 15:16:54.103,"{""source"": ""WS""}"
284,13,4.508,2025-07-15 15:16:54.972,"{""source"": ""WS""}"
285,11,0.2968,2025-07-15 15:16:54.873,"{""source"": ""WS""}"
286,10,15.37,2025-07-15 15:16:54.084,"{""source"": ""WS""}"
287,12,9.028,2025-07-15 15:16:53.062,"{""source"": ""WS""}"
288,19,3.891,2025-07-15 15:16:51.314,"{""source"": ""WS""}"
289,18,18.04,2025-07-15 15:16:53.229,"{""source"": ""WS""}"
290,9,486.5,2025-07-15 15:16:54.242,"{""source"": ""WS""}"
291,1,116329.28,2025-07-15 15:17:05.761,"{""source"": ""WS""}"
